;;;;;;;;;;;;;;;;;;;;;;
PRODUCCIÓN METÁLICA ENERO - OCTUBRE 2022;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
METAL;UNIDAD DE MEDIDA;ETAPA;PROCESO;ESTRATO;TITULAR;UNIDAD;REGIÓN;PROVINCIA;DISTRITO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;ACUM. ENE-DIC
ARSÉNICO;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;PLANTA CONC.Y RELAVES;HUANCAVELICA;ANGARAES;CCOCHACCASA; 10.8 ; 10.8 ; 11.7 ; 14.9 ; 14.8 ; 16.6 ; 18.5 ; 14.6 ; 21.1 ; 18.2 ; -   ; -   ; 152 
ARSÉNICO;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA LINCUNA S.A.;HUANCAPETI 2009;ÁNCASH;RECUAY;RECUAY; 89.6 ; 87.8 ; 81.4 ; 101.6 ; 91.8 ; 81.3 ; 86.0 ; 104.1 ; 104.0 ; 105.0 ; -   ; -   ; 933 
ARSÉNICO;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;MINERA CHINALCO PERÚ S.A.;PROYECTO TOROMOCHO;JUNÍN;YAULI;YAULI; 496.8 ; 605.6 ; 612.0 ; 485.4 ; 623.6 ; 686.4 ; 749.0 ; 576.5 ; 822.4 ; 445.6 ; -   ; -   ; 6,103 
ARSÉNICO;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;SIERRA POLI S.A.C.;AZULCOCHA;JUNÍN;CONCEPCION;SAN JOSE DE QUERO; 7.6 ; 7.2 ; 11.0 ; 11.6 ; 13.1 ; 11.5 ; 20.5 ; 12.5 ; 16.2 ; 13.5 ; -   ; -   ; 125 
ARSÉNICO;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;SOCIEDAD MINERA EL BROCAL S.A.A.;HDA. DE BENEF. HUARAUCACA;PASCO;PASCO;TINYAHUARCO; 1,193.8 ; 1,027.7 ; 1,468.3 ; 1,257.8 ; 1,128.4 ; 1,159.8 ; 1,174.5 ; 1,409.8 ; 1,693.9 ; 1,674.7 ; -   ; -   ; 13,189 
ARSÉNICO;TMF;CONCENTRACIÓN;GRAVIMETRÍA;PEQUEÑO PRODUCTOR MINERO;EL PACIFICO DORADO S.A.C.;MIRIAM PILAR UNO;ÁNCASH;SANTA;CACERES DEL PERÚ; -   ; 0.3 ; -   ; -   ; -   ; -   ; -   ; -   ; 0.1 ; 0.2 ; -   ; -   ; 1 
ARSÉNICO;TMF;CONCENTRACIÓN;GRAVIMETRÍA;PEQUEÑO PRODUCTOR MINERO;SOCIEDAD MINERA ANDEREAL S.A.C.;CUNCA;CUSCO;CANAS;LAYO; 0.7 ; 0.0 ; 0.6 ; 0.7 ; 0.8 ; 0.7 ; 1.0 ; 0.9 ; 0.6 ; 0.7 ; -   ; -   ; 7 
ARSÉNICO;TMF;CONCENTRACIÓN;GRAVIMETRÍA;RÉGIMEN GENERAL;PROCESADORA DE MINERALES UNION S.A.C.;SANTA BARBARA-A;LA LIBERTAD;GRAN CHIMU;SAYAPULLO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
ARSÉNICO;TMF;CONCENTRACIÓN;LIXIVIACIÓN;RÉGIMEN GENERAL;SOCIEDAD MINERA EL BROCAL S.A.A.;HDA. DE BENEF. HUARAUCACA;PASCO;PASCO;TINYAHUARCO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 48.4 ; -   ; -   ; -   ; -   ; 48 
BISMUTO;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;AURIFERA SACRAMENTO S.A.;SACRAMENTO;HUANCAVELICA;HUAYTARA;HUAYTARA; -   ; -   ; -   ; -   ; 0.0 ; -   ; 0.0 ; -   ; -   ; -   ; -   ; -   ; 0 
